"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_1655702",-0.909749212823533,7.53771203929412,-4.55031025440036,6.1613776441017e-05,0.00555380712860619,1.73650330111039,"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"ILMN_1655796",-0.880573357823534,7.31160311132353,-4.13577806406945,0.000209677183378499,0.0133907602550887,0.600520805350102,"MARCHF3","membrane associated ring-CH-type finger 3"
"ILMN_1656136",-0.84486557941177,8.29778558829412,-5.41575604628027,4.51871756735043e-06,0.001091016691019,4.16892327855626,"STAU1","staufen double-stranded RNA binding protein 1"
"ILMN_1656145",-0.561647253000005,7.00357913955882,-3.79866860078058,0.000555079192415029,0.027505772379745,-0.298225308084814,"GOT1","glutamic-oxaloacetic transaminase 1"
"ILMN_1656165",-0.513459130529418,8.09285105444117,-3.56059348841653,0.00108663569226462,0.0454265555344865,-0.915067981078938,"USP9X","ubiquitin specific peptidase 9 X-linked"
"ILMN_1656427",-0.75196624358824,7.51510322091177,-4.11407834742937,0.000223390069558749,0.0140205414611786,0.541900267519585,"GID4","GID complex subunit 4 homolog"
"ILMN_1656902",-1.09437191970589,7.15198706361765,-6.49226986642201,1.7245739332756e-07,0.000377184761924402,7.20653498756221,"HECTD3","HECT domain E3 ubiquitin protein ligase 3"
"ILMN_1656949",-0.516493335882354,6.54775550629412,-3.51618765797196,0.00122961665170839,0.0497343152211931,-1.02821647380471,"SLFN14","schlafen family member 14"
"ILMN_1657983",-1.72986277064706,9.92740803408824,-5.59240530381227,2.64057903511998e-06,0.000880000856894245,4.66938160148388,"TERF2IP","TERF2 interacting protein"
"ILMN_1658290",-1.04452884829412,7.6407383035,-6.3718032993265,2.4803074102466e-07,0.000377184761924402,6.86932108126853,"METTL22","methyltransferase 22, Kin17 lysine"
"ILMN_1658351",-1.23951714447059,9.94204750829412,-5.36201378607162,5.32056573009326e-06,0.0011874072461343,4.0167342980975,"FIS1","fission, mitochondrial 1"
"ILMN_1658494",-1.43268884900001,10.1413825431471,-4.49522717697603,7.26041147007508e-05,0.00618423696076226,1.58400297750952,"RGCC","regulator of cell cycle"
"ILMN_1658624",-1.45585852641177,10.5113584700294,-4.9597804469255,1.8009671284475e-05,0.00242812442790659,2.88086723156436,"UBXN6","UBX domain protein 6"
"ILMN_1658743",-1.43510816976471,7.99178978629412,-4.79399860523216,2.96872302144288e-05,0.00347744751345894,2.41557344704384,"CCNDBP1","cyclin D1 binding protein 1"
"ILMN_1658800",-0.560034516647066,7.56348624926471,-4.05911319841041,0.00026217025683169,0.0157645274003127,0.393853218703118,"BRPF3","bromodomain and PHD finger containing 3"
"ILMN_1658883",-0.671917623176477,8.24847737235294,-3.74588740960014,0.000645014217539182,0.0310920180779764,-0.43638507424906,"ARAF","A-Raf proto-oncogene, serine/threonine kinase"
"ILMN_1659024",-2.30508489664706,8.66305299308823,-4.64281969647058,4.67318138040706e-05,0.00465126795152866,1.99349998417752,"TMCC2","transmembrane and coiled-coil domain family 2"
"ILMN_1659027",-2.107122007,9.72224290385294,-5.24188003917437,7.66342691003619e-06,0.00149241296980923,3.67678238523388,"SLC2A1","solute carrier family 2 member 1"
"ILMN_1659437",0.501377997647054,9.40344706241176,3.71310773389114,0.000707818220889263,0.033211132384356,-0.521800744343071,"TXNDC17","thioredoxin domain containing 17"
"ILMN_1659762",-0.862222085294119,11.4806412602941,-4.804784598241,2.8739300020968e-05,0.00340007473723067,2.44577462261317,"BTF3","basic transcription factor 3"
"ILMN_1660345",-0.62211805076471,6.80181221314706,-3.99103344261996,0.000319402705165624,0.018210956887413,0.211391301873428,"NGRN","neugrin, neurite outgrowth associated"
"ILMN_1660837",-0.99906142664706,7.84350570608823,-4.78346107918433,3.0643210696212e-05,0.00352829357609936,2.38607853131156,"CLCN3","Cl-/H+ antiporter 3"
"ILMN_1661399",-0.797230285058823,6.91317712505882,-4.3605034955461,0.000108288775236421,0.00823882590114653,1.21285475984935,"ARL4A","ARF like GTPase 4A"
"ILMN_1661717",-1.55993195517648,9.36102533358824,-5.9493980709228,8.91865893047664e-07,0.000534250248818919,5.67988687199466,"TFDP1","transcription factor Dp-1"
"ILMN_1661735",-0.598334978058828,6.50210399555882,-3.58812642679598,0.0010061826681378,0.0432475771156088,-0.844596808269428,"NATD1","N-acetyltransferase domain containing 1"
"ILMN_1662174",-0.654841575588243,7.55441690561765,-3.57980464318717,0.00102987297281764,0.0438673975631407,-0.86592171585013,"ORMDL3","ORMDL sphingolipid biosynthesis regulator 3"
"ILMN_1662426",-0.920133454000007,9.95464525388235,-5.36302775594167,5.30419612515891e-06,0.0011874072461343,4.01960518061102,"AP2S1","adaptor related protein complex 2 subunit sigma 1"
"ILMN_1662438",-0.849043954176471,11.4133153217353,-3.60515769827264,0.000959327042517646,0.0418802893293935,-0.800886343356607,"SOD1","superoxide dismutase 1"
"ILMN_1662618",-0.570889630000003,11.0269411667647,-4.02017458389236,0.000293548913404925,0.0171079005284006,0.289366567030493,"SQSTM1","sequestosome 1"
"ILMN_1662795",-2.02172201529412,9.23262337582353,-4.47787718958012,7.64504195216219e-05,0.00644895401608148,1.53605511013504,"CA2","carbonic anhydrase 2"
"ILMN_1663605",-1.56045454252942,8.0557730385,-6.07525417569153,6.0866950644488e-07,0.000496576100153695,6.0352337296371,"RNF123","ring finger protein 123"
"ILMN_1663640",-1.514140086,6.66493739870588,-5.40801987568153,4.62624824995831e-06,0.00111130937021714,4.14701266575045,"MAOA","monoamine oxidase A"
"ILMN_1663786",-0.699432206411774,6.16383080491176,-4.05144136160824,0.000268081518900312,0.0160995199478674,0.373240573949621,"EPB41","erythrocyte membrane protein band 4.1"
"ILMN_1664231",-0.859390556941184,7.6110342012353,-4.65158831627431,4.55208997961674e-05,0.00459314614297234,2.01791330673463,"TIMM23","translocase of inner mitochondrial membrane 23"
"ILMN_1664434",-0.73538306076471,7.07010174197059,-4.52820590333526,6.58116289711039e-05,0.00581045469738722,1.67525710374867,"TCF3","transcription factor 3"
"ILMN_1664750",0.518152275235289,10.4492152953235,3.8640193455419,0.000460484755719804,0.0239008342875244,-0.126134759573629,"TMBIM4","transmembrane BAX inhibitor motif containing 4"
"ILMN_1664756",-0.592527701176476,9.02363451782353,-3.7272666332017,0.000679995552831305,0.0325044742895312,-0.484943325409001,"KPNA4","karyopherin subunit alpha 4"
"ILMN_1664994",-0.740572128176476,6.96452501679412,-4.31132428306235,0.000125222775169357,0.00925924592084293,1.0780827757013,"MINPP1","multiple inositol-polyphosphate phosphatase 1"
"ILMN_1665730",-1.05361046647059,7.67579949264706,-4.95131983460653,1.84758709669593e-05,0.00246291166695609,2.85706876993858,"ABCB10","ATP binding cassette subfamily B member 10"
"ILMN_1666049",0.593016572117639,9.33552631041176,4.22393449094653,0.000161959804273792,0.0112217039789878,0.839628256393522,"NUP214","nucleoporin 214"
"ILMN_1666306",-0.868816251588237,8.19246013720588,-4.2526040945617,0.000148872057437285,0.0105307509328918,0.917706346736849,"SRRD","SRR1 domain containing"
"ILMN_1666372",0.513138247529406,9.90326496958823,3.59377411779758,0.000990405408144445,0.0427636451912587,-0.830112071193507,"ATP5PD","ATP synthase peripheral stalk subunit d"
"ILMN_1666376",0.598075452764701,7.80467849738235,4.0417806355739,0.000275710732371597,0.0163757129784108,0.347302423790239,"TRIM56","tripartite motif containing 56"
"ILMN_1666482",-0.706716004470589,6.80146418741176,-4.21178609866687,0.000167840078976032,0.0114032366949781,0.806589467405104,"SP2","Sp2 transcription factor"
