"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042743","hydrogen peroxide metabolic process","11/708","45/18842",0.244444444444444,6.50539861895794,7.30588032129454,6.16490605220717e-07,0.000134257954025845,0.000134257954025845,"PRDX6/SNCA/SOD1/HBA2/HBA1/PRDX2/HDAC6/GPX1/CAT/GPX3/PINK1",11
"GO:0046148","pigment biosynthetic process","12/708","55/18842",0.218181818181818,5.80647149460709,7.05343707069354,7.17837740401361e-07,0.000146197724362911,0.000146197724362911,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/UROS/SRRD/FECH/ALAS2/TMEM14B",12
"GO:0097237","cellular response to toxic substance","19/708","135/18842",0.140740740740741,3.7455325381879,6.32576718643351,7.21043198388507e-07,0.000146197724362911,0.000146197724362911,"PRDX6/SOD1/FIS1/HAGH/HBA2/HBA1/GPX4/PRDX2/CCS/CLIC2/GSR/CLIC1/GPX1/SRXN1/CAT/GPX3/PINK1/PNKD/CD36",19
"GO:0098869","cellular oxidant detoxification","15/708","89/18842",0.168539325842697,4.4853361264521,6.51217544407226,1.04374512412784e-06,0.000204574044329057,0.000204574044329057,"PRDX6/SOD1/HBA2/HBA1/GPX4/PRDX2/CCS/CLIC2/GSR/CLIC1/GPX1/SRXN1/CAT/GPX3/CD36",15
"GO:0042440","pigment metabolic process","14/708","82/18842",0.170731707317073,4.54368196224335,6.35429019908194,2.02913738047898e-06,0.000384881541845691,0.000384881541845691,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/BLVRB/UROS/SRRD/FECH/ALAS2/TMEM14B/SLC48A1",14
"GO:0042744","hydrogen peroxide catabolic process","8/708","25/18842",0.32,8.51615819209039,7.43040561493717,2.34138369058792e-06,0.000430229253145531,0.000430229253145531,"PRDX6/SNCA/HBA2/HBA1/PRDX2/GPX1/CAT/GPX3",8
"GO:0042594","response to starvation","23/708","206/18842",0.111650485436893,2.97135373813834,5.62138872111235,3.22887329365452e-06,0.000575326514142078,0.000575326514142078,"RRAGB/XPR1/FLCN/FOXO3B/ATG14/FOXO3/WIPI2/CPEB4/EIF2AK1/GABARAPL2/BECN1/RRAGA/SESN3/ZFYVE1/GABARAPL1/UCP2/SLC7A5/NPRL3/WDR45/MAP1LC3B/ULK1/PCK2/GABARAP",23
"GO:0006979","response to oxidative stress","35/708","400/18842",0.0875,2.32863700564972,5.30706160676532,3.3749958885624e-06,0.00058367575955138,0.00058367575955138,"PRDX6/ALAD/TPM1/SNCA/OSER1/FOXO3/GCLC/SOD1/BECN1/PSMA4/HBA2/SESN3/PSMD2/HBA1/GPX4/PRDX2/RBX1/KAT2B/CCS/PSMA5/PNPLA8/GSR/HDAC6/PPIA/FOXO4/GPX1/SRXN1/UCP2/CAT/GPX3/PINK1/STAU1/CD36/LIAS/KRT1",35
"GO:1990748","cellular detoxification","17/708","123/18842",0.138211382113821,3.67821873133986,5.88815284151058,3.53980109811338e-06,0.000594686584483047,0.000594686584483047,"PRDX6/SOD1/HAGH/HBA2/HBA1/GPX4/PRDX2/CCS/CLIC2/GSR/CLIC1/GPX1/SRXN1/CAT/GPX3/PNKD/CD36",17
"GO:0020027","hemoglobin metabolic process","6/708","13/18842",0.461538461538462,12.2829204693611,8.04083912706698,3.77199603917724e-06,0.000616092686398949,0.000616092686398949,"ABCB10/EIF2AK1/SLC6A9/AHSP/ALAS2/SLC25A37",6
"GO:0031929","TOR signaling","21/708","179/18842",0.11731843575419,3.12219486791024,5.63693264264449,3.9188672749023e-06,0.000622782150714204,0.000622782150714204,"SKP1/RRAGB/SIK3/RPS6KB2/FLCN/GNA12/LAMTOR2/USP9X/EIF4EBP2/RRAGA/SESN3/WAC/STK11/RBX1/ARAF/DYRK3/SYAP1/NPRL3/PINK1/USP7/FBXO9",21
"GO:0061136","regulation of proteasomal protein catabolic process","23/708","219/18842",0.105022831050228,2.7949720093904,5.27930452868046,9.02134025368518e-06,0.00139593370241234,0.00139593370241234,"ALAD/GNA12/USP9X/GABARAPL2/ELOB/DNAJB2/BAG6/UBQLN1/PSMA4/WAC/PSMD2/RBX1/RAD23A/ARAF/PSMA5/UBB/ZER1/GPX1/PSMF1/PINK1/CSNK2A1/USP7/GABARAP",23
"GO:0019058","viral life cycle","27/708","284/18842",0.0950704225352113,2.53010861780855,5.13378461254981,9.99196489693454e-06,0.00150648086138398,0.00150648086138398,"GYPA/JPT2/ZC3HAV1/XPR1/CHMP3/BSG/CR1/PCBP1/FURIN/VPS28/TFRC/PCBP2/RAD23A/CTSB/PPIA/SLC1A5/DDB1/KPNA6/SLC7A1/HMGB1/APOBEC3F/INPP5K/SLC3A2/DYNLT1/PABPC1/STAU1/TSG101",27
"GO:0048524","positive regulation of viral process","11/708","61/18842",0.180327868852459,4.79906455496897,5.87224318275523,1.46930255204422e-05,0.002159874751505,0.002159874751505,"STOM/BSG/FURIN/RAD23A/PPIA/DDB1/KPNA6/HMGB1/PABPC1/STAU1/TSG101",11
"GO:0140627","ubiquitin-dependent protein catabolic process via the C-end degron rule pathway","6/708","16/18842",0.375,9.97987288135593,7.10023872635341,1.59773272827868e-05,0.00229138254689722,0.00229138254689722,"ELOB/CUL4A/RBX1/FEM1A/DCAF12/KLHDC2",6
"GO:0009895","negative regulation of catabolic process","31/708","360/18842",0.0861111111111111,2.29167451349655,4.88935595352839,1.66635806900715e-05,0.00233290129661001,0.00233290129661001,"RRAGB/ADORA1/ALAD/FLCN/SNCA/IGF2BP2/FURIN/YBX3/USP9X/GABARAPL2/LEPR/BAG6/DAP/RBM38/TENT5C/BCL2L1/RRAGA/WAC/RBX1/KAT2B/HDAC6/WNK1/MCL1/PABPC1/SLC7A5/PSMF1/PINK1/SNX3/CSNK2A1/USP7/SRSF1",31
"GO:0016032","viral process","32/708","383/18842",0.0835509138381201,2.22353999793483,4.78008116765799,2.23570136398325e-05,0.00305719163260965,0.00305719163260965,"GYPA/JPT2/ZC3HAV1/XPR1/STOM/CHMP3/BSG/CR1/PCBP1/FURIN/VPS28/TFRC/PCBP2/ST6GALNAC4/RAD23A/CTSB/PPIA/SLC1A5/DDB1/KPNA6/SLC7A1/HMGB1/APOBEC3F/INPP5K/SLC3A2/DYNLT1/PABPC1/ST3GAL1/EIF3B/STAU1/OAZ2/TSG101",32
"GO:0032984","protein-containing complex disassembly","24/708","248/18842",0.0967741935483871,2.57545106615637,4.93476122361973,2.29647219950802e-05,0.00306892193934254,0.00306892193934254,"SPTA1/SPTB/CHMP3/ATG14/GABARAPL2/TMOD1/UBQLN1/BECN1/MICAL2/GSPT1/ADD1/DYRK3/DMTN/HDAC6/WNK1/GABARAPL1/SH3GL1/NAPB/NAPA/NFE2/TSG101/MAP1LC3B/WASHC2C/GABARAP",24
"GO:0009267","cellular response to starvation","19/708","171/18842",0.111111111111111,2.95699937225361,5.07956766572078,2.43385273551534e-05,0.00318023424107337,0.00318023424107337,"RRAGB/XPR1/FLCN/ATG14/FOXO3/WIPI2/CPEB4/GABARAPL2/BECN1/RRAGA/SESN3/ZFYVE1/GABARAPL1/UCP2/SLC7A5/NPRL3/WDR45/MAP1LC3B/GABARAP",19
